Percentage served,Time in ms
0,169.818
1,265.280
2,327.303
3,382.304
4,404.193
5,413.435
6,420.094
7,428.248
8,434.346
9,437.500
10,441.513
11,444.236
12,447.152
13,448.903
14,450.538
15,451.735
16,452.748
17,453.865
18,454.790
19,455.500
20,456.364
21,456.967
22,457.497
23,458.012
24,458.470
25,458.755
26,459.166
27,459.585
28,460.011
29,460.428
30,460.845
31,461.058
32,461.362
33,461.630
34,461.880
35,462.110
36,462.357
37,462.585
38,462.828
39,463.077
40,463.354
41,463.558
42,463.758
43,463.972
44,464.225
45,464.466
46,464.700
47,464.982
48,465.372
49,465.655
50,465.857
51,466.136
52,466.468
53,466.957
54,467.304
55,467.581
56,467.803
57,468.012
58,468.482
59,468.797
60,469.084
61,469.452
62,469.901
63,470.386
64,470.762
65,471.215
66,471.557
67,471.868
68,472.219
69,472.639
70,472.974
71,473.527
72,473.795
73,474.245
74,474.681
75,475.221
76,475.760
77,476.377
78,476.911
79,477.627
80,478.198
81,478.779
82,479.614
83,480.366
84,481.517
85,482.292
86,482.965
87,483.992
88,485.022
89,486.218
90,487.739
91,488.726
92,490.634
93,493.094
94,495.892
95,500.339
96,506.568
97,518.208
98,531.403
99,550.583
