Percentage served,Time in ms
0,270.088
1,1467.105
2,2556.457
3,3254.922
4,3724.735
5,3814.292
6,3875.836
7,3904.758
8,3928.454
9,3952.999
10,3975.894
11,3994.603
12,4021.763
13,4041.820
14,4060.018
15,4079.310
16,4093.120
17,4109.869
18,4125.992
19,4141.605
20,4155.801
21,4171.942
22,4184.716
23,4197.912
24,4210.088
25,4224.470
26,4237.420
27,4248.820
28,4258.568
29,4268.389
30,4278.434
31,4291.843
32,4304.977
33,4316.332
34,4327.635
35,4339.037
36,4350.103
37,4360.129
38,4368.241
39,4376.085
40,4383.515
41,4391.633
42,4398.794
43,4406.649
44,4413.242
45,4419.952
46,4426.564
47,4433.892
48,4442.829
49,4451.209
50,4458.507
51,4465.858
52,4473.026
53,4481.704
54,4490.140
55,4498.867
56,4508.049
57,4519.280
58,4529.528
59,4539.632
60,4550.042
61,4560.811
62,4570.223
63,4579.674
64,4589.005
65,4598.678
66,4608.809
67,4619.576
68,4630.049
69,4642.103
70,4654.018
71,4667.926
72,4681.845
73,4695.300
74,4707.849
75,4720.367
76,4733.945
77,4751.915
78,4769.990
79,4787.660
80,4807.586
81,4827.827
82,4850.508
83,4881.904
84,4926.511
85,4980.223
86,5037.745
87,5110.766
88,5183.309
89,5257.255
90,5335.073
91,5404.088
92,5458.373
93,5539.015
94,5610.387
95,5694.159
96,5816.507
97,6109.813
98,6613.720
99,7234.925
