Percentage served,Time in ms
0,284.777
1,1510.580
2,2521.503
3,3268.560
4,3674.147
5,3908.341
6,4052.958
7,4087.660
8,4105.633
9,4119.717
10,4131.723
11,4142.841
12,4155.245
13,4168.417
14,4179.210
15,4192.429
16,4202.739
17,4213.325
18,4224.837
19,4235.243
20,4244.765
21,4253.063
22,4264.089
23,4273.416
24,4282.406
25,4291.088
26,4299.317
27,4308.029
28,4316.812
29,4325.456
30,4332.096
31,4339.106
32,4345.786
33,4352.585
34,4359.504
35,4365.592
36,4371.799
37,4377.763
38,4383.533
39,4389.520
40,4395.759
41,4401.485
42,4407.387
43,4413.790
44,4419.923
45,4425.801
46,4431.395
47,4437.070
48,4442.304
49,4448.428
50,4455.433
51,4462.980
52,4470.142
53,4476.994
54,4483.570
55,4491.171
56,4498.815
57,4507.147
58,4516.454
59,4526.922
60,4535.546
61,4545.179
62,4554.493
63,4563.527
64,4573.081
65,4583.949
66,4592.818
67,4602.574
68,4612.199
69,4621.463
70,4632.683
71,4644.391
72,4655.671
73,4668.114
74,4679.418
75,4692.594
76,4706.392
77,4719.695
78,4735.436
79,4756.533
80,4788.393
81,4867.151
82,4965.055
83,5047.823
84,5101.782
85,5142.217
86,5187.815
87,5234.022
88,5277.235
89,5324.000
90,5366.726
91,5408.364
92,5456.595
93,5513.105
94,5610.365
95,5694.854
96,5993.247
97,6246.515
98,6590.375
99,7297.908
