Percentage served,Time in ms
0,179.382
1,776.562
2,1242.694
3,1830.561
4,1970.782
5,1993.733
6,2010.754
7,2026.801
8,2037.781
9,2047.393
10,2056.201
11,2064.037
12,2071.216
13,2077.896
14,2085.001
15,2091.988
16,2098.632
17,2104.922
18,2110.689
19,2115.211
20,2121.764
21,2128.618
22,2134.098
23,2141.607
24,2148.084
25,2156.408
26,2162.898
27,2170.093
28,2179.812
29,2187.452
30,2194.583
31,2201.547
32,2206.869
33,2212.075
34,2218.201
35,2223.440
36,2230.317
37,2237.074
38,2244.039
39,2250.384
40,2255.938
41,2262.040
42,2268.081
43,2274.673
44,2279.788
45,2286.806
46,2294.193
47,2301.703
48,2312.751
49,2322.867
50,2332.195
51,2339.660
52,2348.683
53,2356.137
54,2363.047
55,2369.781
56,2375.831
57,2381.907
58,2388.122
59,2394.226
60,2401.332
61,2406.709
62,2412.795
63,2419.429
64,2426.456
65,2434.279
66,2442.087
67,2449.792
68,2456.413
69,2463.735
70,2471.481
71,2478.109
72,2485.937
73,2493.102
74,2500.892
75,2508.820
76,2515.421
77,2522.928
78,2529.404
79,2535.461
80,2541.253
81,2547.390
82,2553.111
83,2558.297
84,2563.744
85,2570.592
86,2576.408
87,2582.621
88,2588.950
89,2595.646
90,2602.241
91,2611.353
92,2621.295
93,2633.963
94,2644.126
95,2654.094
96,2666.634
97,2676.913
98,2693.611
99,2723.530
