Percentage served,Time in ms
0,130.578
1,1491.994
2,2616.703
3,3243.359
4,3503.236
5,3758.532
6,3819.513
7,3851.640
8,3870.895
9,3887.379
10,3901.461
11,3916.495
12,3928.885
13,3938.210
14,3947.116
15,3957.246
16,3966.863
17,3975.843
18,3984.108
19,3993.767
20,4003.673
21,4013.346
22,4022.958
23,4033.162
24,4045.887
25,4058.606
26,4069.349
27,4078.370
28,4089.035
29,4100.501
30,4111.755
31,4124.235
32,4138.346
33,4150.580
34,4164.480
35,4177.269
36,4191.765
37,4209.633
38,4233.016
39,4261.268
40,4300.540
41,4338.636
42,4362.508
43,4385.942
44,4413.901
45,4440.677
46,4471.544
47,4494.116
48,4513.331
49,4534.478
50,4553.636
51,4570.732
52,4585.773
53,4600.245
54,4615.108
55,4626.650
56,4635.378
57,4645.851
58,4655.033
59,4664.753
60,4676.766
61,4686.829
62,4696.024
63,4708.217
64,4718.714
65,4728.865
66,4739.850
67,4749.545
68,4760.027
69,4770.949
70,4783.837
71,4796.384
72,4809.284
73,4821.051
74,4830.158
75,4839.202
76,4849.516
77,4858.718
78,4868.851
79,4880.315
80,4892.101
81,4909.908
82,4931.610
83,4953.758
84,4979.587
85,5030.582
86,5121.459
87,5205.326
88,5307.396
89,5418.647
90,5484.725
91,5554.996
92,5613.775
93,5671.057
94,5734.317
95,5809.162
96,5914.448
97,6329.140
98,6680.904
99,7433.625
