Percentage served,Time in ms
0,238.087
1,1467.270
2,2562.123
3,3263.493
4,3381.025
5,3438.243
6,3494.751
7,3538.485
8,3593.318
9,3630.407
10,3666.168
11,3712.227
12,3760.670
13,3802.865
14,3841.710
15,3868.322
16,3893.911
17,3912.402
18,3932.437
19,3948.555
20,3968.183
21,3985.168
22,3999.557
23,4012.934
24,4028.375
25,4044.231
26,4058.984
27,4071.206
28,4085.031
29,4099.036
30,4113.192
31,4129.304
32,4143.783
33,4159.071
34,4176.378
35,4195.070
36,4213.265
37,4227.069
38,4244.464
39,4260.732
40,4280.287
41,4300.515
42,4319.544
43,4341.194
44,4360.393
45,4386.493
46,4410.487
47,4430.234
48,4451.849
49,4473.976
50,4493.590
51,4514.577
52,4532.511
53,4552.882
54,4568.494
55,4582.966
56,4596.685
57,4609.622
58,4621.460
59,4634.239
60,4648.011
61,4662.062
62,4676.525
63,4690.114
64,4705.699
65,4719.066
66,4734.039
67,4749.640
68,4763.665
69,4777.767
70,4793.838
71,4810.739
72,4826.959
73,4844.247
74,4858.899
75,4873.714
76,4886.958
77,4900.346
78,4913.786
79,4925.543
80,4937.881
81,4953.591
82,4968.928
83,4987.471
84,5016.051
85,5050.279
86,5090.700
87,5192.009
88,5292.134
89,5400.787
90,5498.661
91,5645.652
92,5721.434
93,5796.892
94,5863.235
95,5952.669
96,6256.907
97,6686.126
98,7160.045
99,7851.391
