Percentage served,Time in ms
0,201.686
1,1394.062
2,2458.754
3,3183.476
4,3560.821
5,3723.859
6,3776.393
7,3820.184
8,3852.406
9,3889.948
10,3923.606
11,3946.636
12,3970.743
13,3991.418
14,4010.674
15,4029.618
16,4043.104
17,4054.115
18,4065.063
19,4075.145
20,4085.056
21,4094.199
22,4103.722
23,4112.840
24,4121.185
25,4129.556
26,4137.405
27,4145.202
28,4153.115
29,4159.600
30,4168.090
31,4175.816
32,4182.888
33,4190.631
34,4199.445
35,4208.550
36,4220.487
37,4231.791
38,4242.188
39,4251.191
40,4261.266
41,4272.165
42,4284.050
43,4294.584
44,4307.175
45,4322.454
46,4337.704
47,4351.807
48,4366.207
49,4379.826
50,4397.606
51,4417.311
52,4434.398
53,4452.920
54,4468.167
55,4483.640
56,4497.029
57,4511.057
58,4523.246
59,4535.748
60,4545.074
61,4554.978
62,4566.175
63,4579.093
64,4592.838
65,4607.178
66,4621.222
67,4638.148
68,4654.434
69,4667.411
70,4680.298
71,4695.680
72,4709.973
73,4727.020
74,4746.527
75,4763.513
76,4782.147
77,4801.496
78,4824.886
79,4848.563
80,4873.458
81,4906.088
82,4942.117
83,4979.657
84,5017.318
85,5053.402
86,5103.537
87,5155.687
88,5202.099
89,5265.896
90,5350.209
91,5453.358
92,5559.024
93,5651.636
94,5734.825
95,5814.765
96,5996.145
97,6495.991
98,6797.417
99,7440.664
