Percentage served,Time in ms
0,286.140
1,1463.958
2,2567.550
3,3177.317
4,3543.088
5,3721.408
6,3837.961
7,3941.927
8,3989.745
9,4031.544
10,4061.775
11,4081.423
12,4099.992
13,4114.850
14,4132.939
15,4146.137
16,4157.361
17,4168.992
18,4179.118
19,4188.204
20,4197.807
21,4207.079
22,4215.821
23,4225.389
24,4232.897
25,4241.196
26,4248.794
27,4256.131
28,4264.412
29,4271.925
30,4279.440
31,4287.101
32,4294.623
33,4302.327
34,4309.658
35,4315.930
36,4323.442
37,4329.942
38,4336.129
39,4341.835
40,4347.599
41,4352.869
42,4359.264
43,4364.215
44,4370.140
45,4376.751
46,4382.815
47,4388.033
48,4393.975
49,4399.170
50,4404.316
51,4409.223
52,4414.291
53,4419.705
54,4424.633
55,4429.611
56,4434.958
57,4440.901
58,4447.200
59,4453.257
60,4458.869
61,4465.126
62,4471.666
63,4478.323
64,4485.561
65,4494.276
66,4504.958
67,4515.383
68,4526.341
69,4538.885
70,4556.750
71,4576.499
72,4595.951
73,4618.630
74,4644.985
75,4668.894
76,4687.846
77,4712.327
78,4739.780
79,4769.763
80,4800.144
81,4836.323
82,4883.994
83,4938.740
84,4983.347
85,5025.202
86,5069.219
87,5118.662
88,5170.187
89,5217.344
90,5261.129
91,5311.556
92,5365.202
93,5422.992
94,5489.528
95,5666.324
96,5843.990
97,6059.400
98,6396.203
99,7020.195
