Percentage served,Time in ms
0,361.846
1,1280.930
2,2073.727
3,2107.596
4,2122.918
5,2130.718
6,2137.326
7,2142.832
8,2148.313
9,2153.658
10,2157.726
11,2163.012
12,2167.483
13,2172.324
14,2177.838
15,2183.385
16,2188.608
17,2194.028
18,2200.160
19,2207.971
20,2213.852
21,2219.595
22,2225.314
23,2231.670
24,2237.760
25,2244.806
26,2254.756
27,2277.626
28,2476.677
29,2502.861
30,2525.850
31,2551.064
32,2584.595
33,2627.816
34,2844.624
35,2881.362
36,2932.248
37,3008.169
38,3134.071
39,3160.712
40,3183.215
41,3204.276
42,3220.227
43,3236.712
44,3275.335
45,3357.996
46,3445.972
47,3508.004
48,3565.309
49,3632.799
50,3798.478
51,3881.984
52,3919.354
53,3953.325
54,3987.216
55,4042.953
56,4143.365
57,4274.619
58,4375.291
59,4481.780
60,4602.375
61,4662.759
62,4741.547
63,4827.497
64,4946.084
65,5024.504
66,5127.955
67,5238.208
68,5318.489
69,5393.948
70,5501.442
71,5605.252
72,5696.551
73,5784.835
74,5895.371
75,6019.873
76,6143.953
77,6267.394
78,6396.122
79,6550.271
80,6707.900
81,6882.772
82,7071.752
83,7252.045
84,7485.349
85,7678.897
86,7851.226
87,8062.262
88,8253.363
89,8490.422
90,8723.270
91,8988.376
92,9336.959
93,9693.641
94,10085.901
95,10535.249
96,11124.123
97,11871.242
98,12908.911
99,14897.796
