Percentage served,Time in ms
0,28.674
1,45.903
2,49.428
3,55.087
4,61.393
5,144.439
6,337.552
7,372.967
8,404.568
9,424.896
10,439.890
11,445.116
12,450.201
13,453.467
14,455.229
15,457.380
16,458.484
17,459.409
18,460.355
19,460.996
20,461.899
21,462.504
22,462.991
23,463.534
24,464.123
25,464.597
26,465.020
27,465.419
28,465.804
29,466.224
30,466.676
31,466.951
32,467.434
33,467.765
34,468.123
35,468.524
36,468.784
37,469.085
38,469.341
39,469.651
40,469.953
41,470.289
42,470.622
43,471.096
44,471.443
45,471.704
46,471.986
47,472.250
48,472.573
49,472.772
50,473.050
51,473.415
52,473.602
53,473.855
54,474.162
55,474.399
56,474.794
57,475.051
58,475.271
59,475.541
60,475.897
61,476.130
62,476.381
63,476.647
64,476.895
65,477.103
66,477.470
67,477.923
68,478.325
69,478.836
70,479.087
71,479.307
72,479.679
73,480.070
74,480.359
75,480.879
76,481.391
77,481.772
78,482.491
79,483.007
80,483.652
81,484.245
82,484.914
83,485.641
84,486.240
85,486.908
86,488.172
87,489.220
88,490.287
89,491.757
90,493.577
91,495.709
92,499.369
93,505.588
94,516.870
95,551.172
96,822.716
97,1017.953
98,1102.932
99,1222.714
