Percentage served,Time in ms
0,288.082
1,467.360
2,614.570
3,689.037
4,894.136
5,1695.603
6,1797.071
7,1854.901
8,1876.435
9,1887.809
10,1895.187
11,1903.902
12,1910.720
13,1916.112
14,1921.738
15,1929.331
16,1937.807
17,1947.599
18,1957.572
19,1968.141
20,1978.205
21,1988.140
22,1997.868
23,2005.963
24,2014.265
25,2021.238
26,2028.344
27,2033.569
28,2038.494
29,2044.590
30,2049.367
31,2053.651
32,2058.111
33,2063.254
34,2067.574
35,2072.091
36,2076.859
37,2081.338
38,2085.561
39,2090.512
40,2095.525
41,2100.919
42,2105.813
43,2110.611
44,2115.165
45,2119.777
46,2125.206
47,2129.352
48,2133.855
49,2138.028
50,2142.912
51,2147.878
52,2153.035
53,2159.539
54,2164.113
55,2169.930
56,2177.512
57,2183.289
58,2188.514
59,2195.580
60,2201.174
61,2207.669
62,2213.396
63,2219.990
64,2226.304
65,2234.433
66,2241.395
67,2248.333
68,2255.156
69,2260.588
70,2265.753
71,2271.693
72,2277.759
73,2281.924
74,2286.617
75,2290.671
76,2294.996
77,2299.996
78,2305.242
79,2310.975
80,2322.014
81,2338.654
82,2400.593
83,2604.132
84,2697.109
85,2901.264
86,3004.278
87,3079.807
88,3183.716
89,3315.502
90,3540.725
91,3743.884
92,3908.757
93,4030.994
94,4130.988
95,4297.706
96,4590.385
97,4845.648
98,5059.760
99,5539.083
