Percentage served,Time in ms
0,171.784
1,285.138
2,374.600
3,401.081
4,420.504
5,431.791
6,437.865
7,440.908
8,443.463
9,445.777
10,447.605
11,449.077
12,450.068
13,451.602
14,452.860
15,454.173
16,455.106
17,455.977
18,456.792
19,457.822
20,458.770
21,459.591
22,460.626
23,461.178
24,461.910
25,462.532
26,463.149
27,464.175
28,464.828
29,465.427
30,465.939
31,466.475
32,467.135
33,467.506
34,467.908
35,468.356
36,468.705
37,469.154
38,469.726
39,470.174
40,470.580
41,470.941
42,471.318
43,471.628
44,471.970
45,472.266
46,472.602
47,472.825
48,473.187
49,473.444
50,473.867
51,474.067
52,474.322
53,474.670
54,474.955
55,475.241
56,475.558
57,475.934
58,476.289
59,476.798
60,477.198
61,477.477
62,478.086
63,478.768
64,479.220
65,479.726
66,480.145
67,480.653
68,481.041
69,481.673
70,482.099
71,482.856
72,483.327
73,483.735
74,484.279
75,484.855
76,485.207
77,485.740
78,486.284
79,486.936
80,487.636
81,488.477
82,489.307
83,490.241
84,490.948
85,491.866
86,492.781
87,494.055
88,495.322
89,496.933
90,498.168
91,500.220
92,501.934
93,505.385
94,508.730
95,515.187
96,523.891
97,542.632
98,620.397
99,676.090
