Percentage served,Time in ms
0,127.737
1,925.867
2,1730.134
3,1817.489
4,1851.319
5,1872.481
6,1889.782
7,1910.349
8,1930.407
9,1950.007
10,1962.185
11,1972.721
12,1982.438
13,1989.234
14,1997.900
15,2005.368
16,2013.087
17,2020.044
18,2026.472
19,2034.555
20,2040.834
21,2047.191
22,2053.255
23,2059.759
24,2065.609
25,2070.982
26,2076.016
27,2080.560
28,2085.822
29,2090.780
30,2095.983
31,2100.787
32,2105.989
33,2111.662
34,2116.968
35,2122.145
36,2128.009
37,2132.798
38,2137.937
39,2142.410
40,2146.816
41,2150.347
42,2154.305
43,2157.742
44,2160.908
45,2164.250
46,2167.284
47,2170.560
48,2173.811
49,2176.629
50,2179.486
51,2182.639
52,2185.389
53,2188.975
54,2192.591
55,2196.474
56,2199.607
57,2202.877
58,2206.107
59,2209.927
60,2213.551
61,2217.214
62,2221.309
63,2225.202
64,2229.436
65,2233.545
66,2237.414
67,2241.335
68,2245.950
69,2250.278
70,2254.217
71,2258.176
72,2263.161
73,2268.410
74,2273.722
75,2279.243
76,2285.172
77,2290.430
78,2294.821
79,2299.509
80,2305.738
81,2311.952
82,2321.700
83,2347.649
84,2474.172
85,2604.258
86,2690.832
87,2868.040
88,3028.448
89,3150.647
90,3248.700
91,3366.232
92,3467.327
93,3581.779
94,3772.610
95,4034.609
96,4243.018
97,4632.897
98,4889.660
99,5414.235
