Percentage served,Time in ms
0,1693.469
1,2097.310
2,2109.787
3,2118.399
4,2125.437
5,2130.997
6,2135.507
7,2139.715
8,2143.607
9,2147.265
10,2150.878
11,2154.346
12,2157.652
13,2160.690
14,2164.109
15,2167.755
16,2171.441
17,2175.121
18,2178.160
19,2182.598
20,2186.861
21,2191.198
22,2196.873
23,2203.207
24,2211.964
25,2227.184
26,2454.934
27,2488.929
28,2508.089
29,2523.283
30,2540.627
31,2559.316
32,2749.975
33,2844.646
34,2872.907
35,2903.135
36,3002.033
37,3129.412
38,3150.865
39,3166.014
40,3183.116
41,3200.294
42,3229.100
43,3294.078
44,3413.559
45,3464.623
46,3524.631
47,3583.125
48,3713.251
49,3846.274
50,3890.410
51,3924.248
52,3955.490
53,3986.228
54,4066.214
55,4208.079
56,4286.790
57,4377.436
58,4471.893
59,4567.568
60,4629.999
61,4676.008
62,4746.223
63,4854.326
64,4945.915
65,5025.867
66,5122.199
67,5226.999
68,5298.955
69,5394.327
70,5475.883
71,5583.359
72,5678.926
73,5771.568
74,5873.044
75,5982.392
76,6096.424
77,6197.654
78,6329.401
79,6450.293
80,6578.082
81,6750.801
82,6925.390
83,7084.475
84,7303.352
85,7517.765
86,7711.789
87,7901.496
88,8136.273
89,8419.677
90,8694.556
91,8963.576
92,9288.633
93,9678.020
94,10092.667
95,10574.817
96,11203.793
97,11977.902
98,12863.159
99,14558.260
