Percentage served,Time in ms
0,79.416
1,232.989
2,360.732
3,378.608
4,412.811
5,430.041
6,440.796
7,445.144
8,448.188
9,449.740
10,451.090
11,452.186
12,453.518
13,454.175
14,455.367
15,456.360
16,457.318
17,457.927
18,458.496
19,459.129
20,460.104
21,460.717
22,461.316
23,462.102
24,462.517
25,463.455
26,463.921
27,464.514
28,464.972
29,465.395
30,465.968
31,466.443
32,466.672
33,467.179
34,467.528
35,467.953
36,468.302
37,468.601
38,469.073
39,469.522
40,469.925
41,470.259
42,470.631
43,471.114
44,471.573
45,471.836
46,472.219
47,472.684
48,473.025
49,473.492
50,473.818
51,474.148
52,474.610
53,474.879
54,475.315
55,475.668
56,475.878
57,476.202
58,476.484
59,476.813
60,477.270
61,477.702
62,478.058
63,478.449
64,478.805
65,479.187
66,479.681
67,480.160
68,480.525
69,480.801
70,481.182
71,481.773
72,482.281
73,482.626
74,483.135
75,483.543
76,483.855
77,484.357
78,484.891
79,485.311
80,485.743
81,486.369
82,487.023
83,487.866
84,488.586
85,489.105
86,489.864
87,490.862
88,491.933
89,493.317
90,495.266
91,497.841
92,501.089
93,503.914
94,508.450
95,518.465
96,537.247
97,578.477
98,693.803
99,725.305
