Percentage served,Time in ms
0,160.025
1,892.045
2,987.582
3,1089.567
4,1268.704
5,1986.855
6,2089.285
7,2117.705
8,2128.269
9,2137.306
10,2142.475
11,2147.198
12,2151.461
13,2155.233
14,2158.648
15,2161.789
16,2164.709
17,2168.209
18,2171.212
19,2174.263
20,2177.520
21,2180.386
22,2183.328
23,2186.589
24,2190.150
25,2194.295
26,2198.388
27,2203.776
28,2211.570
29,2246.407
30,2495.732
31,2514.781
32,2528.340
33,2541.733
34,2558.784
35,2741.758
36,2864.498
37,2889.966
38,2918.207
39,3110.553
40,3148.523
41,3164.681
42,3179.091
43,3194.216
44,3219.830
45,3265.565
46,3389.928
47,3459.138
48,3515.228
49,3569.967
50,3655.149
51,3830.879
52,3890.086
53,3925.073
54,3954.007
55,3983.474
56,4039.867
57,4191.155
58,4289.932
59,4388.973
60,4489.708
61,4599.094
62,4665.999
63,4723.899
64,4838.233
65,4936.383
66,5032.075
67,5141.023
68,5245.834
69,5330.231
70,5432.457
71,5545.119
72,5657.172
73,5751.568
74,5844.356
75,5972.908
76,6114.325
77,6260.495
78,6420.317
79,6559.591
80,6769.123
81,6991.758
82,7184.106
83,7429.043
84,7602.581
85,7772.381
86,7986.942
87,8200.499
88,8466.158
89,8714.192
90,9018.332
91,9319.386
92,9685.810
93,10037.754
94,10396.924
95,10882.743
96,11435.911
97,12223.751
98,13522.522
99,15723.134
