Percentage served,Time in ms
0,293.218
1,549.306
2,670.999
3,776.132
4,1101.511
5,1788.687
6,1852.966
7,1879.937
8,1893.797
9,1906.496
10,1915.776
11,1925.992
12,1935.080
13,1943.984
14,1952.100
15,1959.597
16,1965.758
17,1972.284
18,1978.017
19,1983.367
20,1988.821
21,1995.869
22,2001.300
23,2006.984
24,2011.648
25,2016.645
26,2022.499
27,2027.426
28,2031.762
29,2037.566
30,2042.108
31,2047.912
32,2053.827
33,2058.976
34,2063.945
35,2069.579
36,2075.477
37,2081.639
38,2087.295
39,2093.724
40,2099.442
41,2105.353
42,2109.963
43,2114.743
44,2118.419
45,2122.135
46,2125.785
47,2129.403
48,2132.940
49,2136.647
50,2139.795
51,2142.681
52,2145.772
53,2148.993
54,2152.744
55,2155.990
56,2160.161
57,2164.253
58,2167.546
59,2170.876
60,2175.187
61,2179.133
62,2183.259
63,2187.028
64,2191.700
65,2196.181
66,2201.696
67,2205.542
68,2210.556
69,2215.441
70,2220.749
71,2225.476
72,2231.501
73,2236.488
74,2240.732
75,2247.266
76,2252.705
77,2260.074
78,2267.274
79,2276.472
80,2299.585
81,2439.832
82,2539.857
83,2662.389
84,2850.728
85,2983.027
86,3078.159
87,3161.340
88,3234.647
89,3413.890
90,3685.272
91,3831.060
92,3972.024
93,4044.955
94,4151.758
95,4297.186
96,4502.387
97,4677.368
98,4950.959
99,5362.180
