Percentage served,Time in ms
0,691.262
1,1184.827
2,1604.641
3,1633.038
4,1656.148
5,1685.276
6,1712.433
7,1737.801
8,1759.660
9,1776.528
10,1798.910
11,1835.475
12,1866.931
13,1887.740
14,1914.518
15,1946.500
16,1970.590
17,1992.953
18,2017.700
19,2040.096
20,2051.908
21,2065.770
22,2078.778
23,2089.754
24,2096.759
25,2103.166
26,2108.445
27,2113.693
28,2118.589
29,2123.601
30,2128.925
31,2135.037
32,2140.063
33,2145.496
34,2150.215
35,2155.374
36,2161.190
37,2168.459
38,2175.229
39,2180.002
40,2184.580
41,2189.067
42,2193.224
43,2196.685
44,2199.973
45,2203.119
46,2206.599
47,2210.057
48,2212.462
49,2215.141
50,2218.066
51,2220.518
52,2222.842
53,2225.564
54,2228.323
55,2230.249
56,2232.517
57,2234.305
58,2236.343
59,2238.787
60,2240.716
61,2242.626
62,2244.583
63,2246.558
64,2248.522
65,2250.465
66,2252.789
67,2254.930
68,2257.328
69,2259.371
70,2262.337
71,2264.780
72,2267.950
73,2270.566
74,2273.290
75,2275.887
76,2278.584
77,2282.227
78,2285.500
79,2289.248
80,2294.326
81,2300.510
82,2309.546
83,2331.398
84,2529.920
85,2602.011
86,2646.186
87,2838.141
88,2982.610
89,3151.845
90,3256.124
91,3352.362
92,3512.508
93,3649.756
94,3823.002
95,4059.573
96,4324.507
97,4636.250
98,4880.853
99,5374.450
