Percentage served,Time in ms
0,720.006
1,1273.392
2,1707.692
3,1830.329
4,1931.907
5,1984.552
6,2028.006
7,2048.800
8,2062.385
9,2071.451
10,2079.790
11,2086.269
12,2092.214
13,2096.848
14,2102.243
15,2107.114
16,2111.916
17,2116.161
18,2120.782
19,2125.992
20,2131.263
21,2135.610
22,2139.551
23,2143.717
24,2146.954
25,2150.683
26,2153.372
27,2155.952
28,2158.744
29,2161.747
30,2164.069
31,2166.099
32,2168.295
33,2170.591
34,2172.799
35,2175.256
36,2177.449
37,2179.258
38,2181.146
39,2183.270
40,2185.031
41,2187.370
42,2189.114
43,2191.227
44,2193.689
45,2195.871
46,2198.212
47,2201.098
48,2203.499
49,2206.000
50,2208.893
51,2211.754
52,2214.489
53,2217.001
54,2219.393
55,2221.878
56,2224.751
57,2227.117
58,2229.741
59,2232.081
60,2234.611
61,2237.221
62,2239.381
63,2241.442
64,2243.507
65,2245.969
66,2247.919
67,2250.032
68,2252.009
69,2253.851
70,2256.478
71,2258.818
72,2261.156
73,2263.805
74,2266.507
75,2269.077
76,2271.690
77,2275.084
78,2278.216
79,2281.557
80,2286.154
81,2291.171
82,2296.643
83,2304.135
84,2312.429
85,2327.024
86,2440.492
87,2554.196
88,2631.570
89,2855.627
90,3031.449
91,3166.926
92,3259.108
93,3351.171
94,3476.712
95,3770.704
96,4037.059
97,4270.563
98,4664.916
99,5164.285
