Percentage served,Time in ms
0,892.216
1,1698.388
2,1775.465
3,1852.659
4,1881.879
5,1903.711
6,1918.587
7,1932.813
8,1954.205
9,1977.386
10,2003.056
11,2020.478
12,2038.256
13,2047.387
14,2056.739
15,2064.504
16,2070.103
17,2075.413
18,2080.323
19,2085.129
20,2089.882
21,2094.050
22,2097.856
23,2101.042
24,2105.169
25,2108.556
26,2112.219
27,2115.209
28,2118.465
29,2121.220
30,2123.979
31,2127.162
32,2129.790
33,2132.690
34,2135.088
35,2137.361
36,2139.589
37,2141.621
38,2143.986
39,2146.321
40,2148.536
41,2150.414
42,2152.348
43,2154.190
44,2156.261
45,2158.401
46,2160.501
47,2162.646
48,2164.752
49,2166.785
50,2168.592
51,2170.957
52,2173.156
53,2175.472
54,2177.765
55,2180.228
56,2182.321
57,2184.424
58,2187.188
59,2190.083
60,2193.001
61,2196.283
62,2199.456
63,2202.750
64,2206.543
65,2210.334
66,2214.338
67,2218.408
68,2222.106
69,2225.915
70,2230.578
71,2234.815
72,2239.720
73,2244.649
74,2249.728
75,2253.954
76,2260.516
77,2265.633
78,2271.608
79,2278.543
80,2286.416
81,2297.078
82,2308.739
83,2342.089
84,2510.795
85,2589.843
86,2783.498
87,2920.867
88,3025.870
89,3112.717
90,3171.468
91,3222.364
92,3303.444
93,3517.699
94,3795.726
95,3946.803
96,4282.887
97,4528.519
98,4735.280
99,5256.079
