Percentage served,Time in ms
0,1015.715
1,1519.351
2,1869.823
3,2093.035
4,2113.038
5,2125.325
6,2133.687
7,2140.766
8,2146.341
9,2151.613
10,2156.140
11,2160.214
12,2164.088
13,2167.784
14,2171.377
15,2175.132
16,2179.139
17,2183.489
18,2187.978
19,2192.089
20,2196.007
21,2200.081
22,2204.438
23,2209.367
24,2215.186
25,2224.324
26,2241.482
27,2458.897
28,2499.678
29,2521.593
30,2538.908
31,2555.167
32,2580.689
33,2744.870
34,2840.089
35,2876.170
36,2905.462
37,2939.968
38,3122.321
39,3151.341
40,3168.822
41,3183.572
42,3199.623
43,3219.365
44,3257.948
45,3339.287
46,3437.776
47,3497.160
48,3547.903
49,3617.327
50,3762.034
51,3863.521
52,3906.019
53,3937.457
54,3968.434
55,4008.302
56,4102.833
57,4256.500
58,4345.591
59,4452.703
60,4568.814
61,4642.029
62,4700.410
63,4777.223
64,4894.700
65,4978.520
66,5059.581
67,5184.129
68,5279.996
69,5371.197
70,5466.615
71,5570.521
72,5668.086
73,5762.913
74,5867.430
75,5975.831
76,6084.999
77,6214.704
78,6328.196
79,6445.525
80,6590.660
81,6752.367
82,6957.213
83,7167.340
84,7406.445
85,7602.638
86,7767.866
87,7974.491
88,8210.394
89,8440.285
90,8704.502
91,9001.892
92,9297.177
93,9704.037
94,10120.898
95,10583.860
96,11237.267
97,12071.290
98,13024.414
99,15047.392
