Percentage served,Time in ms
0,65.529
1,131.367
2,148.630
3,172.428
4,283.160
5,346.464
6,414.828
7,433.413
8,438.294
9,441.431
10,443.730
11,445.295
12,447.436
13,448.485
14,449.592
15,450.495
16,452.112
17,453.227
18,454.443
19,455.598
20,456.944
21,457.568
22,458.217
23,459.218
24,460.237
25,461.223
26,462.058
27,462.629
28,463.290
29,463.877
30,464.798
31,465.459
32,465.986
33,466.437
34,466.850
35,467.236
36,467.728
37,468.191
38,468.902
39,469.235
40,469.674
41,470.277
42,470.572
43,470.916
44,471.359
45,471.758
46,472.164
47,472.673
48,473.017
49,473.611
50,473.936
51,474.301
52,474.747
53,475.167
54,475.529
55,475.781
56,476.150
57,476.611
58,477.071
59,477.499
60,477.762
61,478.206
62,478.510
63,479.000
64,479.374
65,479.705
66,480.046
67,480.448
68,480.870
69,481.376
70,481.805
71,482.262
72,482.840
73,483.118
74,483.899
75,484.696
76,485.169
77,485.793
78,486.325
79,487.101
80,487.753
81,488.180
82,488.827
83,490.078
84,491.197
85,492.049
86,493.100
87,494.340
88,495.383
89,496.518
90,498.614
91,501.579
92,504.457
93,509.045
94,511.881
95,516.998
96,551.425
97,736.116
98,845.967
99,879.094
