Percentage served,Time in ms
0,55.855
1,128.386
2,174.252
3,246.225
4,316.877
5,404.541
6,429.188
7,439.219
8,443.359
9,445.111
10,447.795
11,449.116
12,450.931
13,452.476
14,453.433
15,454.568
16,455.969
17,456.937
18,457.437
19,458.280
20,459.010
21,459.811
22,460.250
23,460.854
24,461.713
25,462.392
26,463.065
27,463.430
28,463.894
29,464.374
30,464.908
31,465.521
32,465.969
33,466.540
34,467.216
35,467.700
36,468.085
37,468.550
38,468.938
39,469.366
40,469.744
41,470.156
42,470.525
43,470.748
44,471.054
45,471.457
46,471.786
47,472.303
48,472.745
49,473.207
50,473.566
51,473.865
52,474.249
53,474.545
54,474.942
55,475.452
56,475.857
57,476.108
58,476.410
59,476.745
60,477.111
61,477.512
62,477.914
63,478.235
64,478.581
65,478.944
66,479.395
67,479.770
68,480.172
69,480.695
70,481.184
71,481.599
72,482.034
73,482.544
74,483.083
75,483.515
76,484.142
77,484.762
78,485.430
79,486.147
80,486.629
81,487.310
82,488.072
83,488.989
84,489.811
85,490.876
86,491.857
87,493.338
88,494.089
89,495.214
90,496.854
91,498.561
92,501.399
93,505.838
94,510.900
95,520.922
96,554.529
97,703.184
98,841.736
99,875.891
