Percentage served,Time in ms
0,840.993
1,1653.681
2,1845.340
3,1884.505
4,1909.465
5,1928.281
6,1948.831
7,1961.175
8,1976.541
9,1988.954
10,2002.977
11,2014.941
12,2027.744
13,2036.922
14,2044.571
15,2050.796
16,2055.759
17,2060.674
18,2066.605
19,2072.047
20,2077.065
21,2081.984
22,2085.770
23,2089.318
24,2092.288
25,2095.493
26,2098.362
27,2102.093
28,2105.400
29,2108.681
30,2111.711
31,2115.185
32,2118.449
33,2122.272
34,2125.425
35,2129.062
36,2132.202
37,2135.237
38,2138.863
39,2142.733
40,2146.096
41,2148.991
42,2152.295
43,2155.594
44,2159.166
45,2161.531
46,2164.159
47,2167.009
48,2169.759
49,2172.844
50,2175.487
51,2177.771
52,2180.719
53,2183.068
54,2185.687
55,2188.223
56,2190.807
57,2193.928
58,2197.194
59,2200.040
60,2203.557
61,2207.084
62,2210.193
63,2214.099
64,2217.996
65,2221.557
66,2225.652
67,2229.332
68,2234.457
69,2238.791
70,2243.929
71,2248.211
72,2252.824
73,2256.878
74,2261.480
75,2266.298
76,2270.159
77,2274.664
78,2279.454
79,2284.090
80,2289.106
81,2295.397
82,2303.038
83,2312.518
84,2327.002
85,2468.225
86,2599.998
87,2700.930
88,2939.918
89,3060.253
90,3153.920
91,3249.296
92,3351.073
93,3497.853
94,3757.716
95,4003.438
96,4154.803
97,4590.521
98,4807.932
99,5315.384
