Percentage served,Time in ms
0,947.290
1,1430.468
2,1733.754
3,2070.132
4,2100.192
5,2110.558
6,2117.727
7,2123.230
8,2128.119
9,2132.483
10,2137.171
11,2140.825
12,2144.959
13,2149.291
14,2153.499
15,2157.776
16,2162.539
17,2167.510
18,2172.401
19,2178.162
20,2183.900
21,2190.347
22,2197.476
23,2204.436
24,2212.502
25,2223.610
26,2244.108
27,2449.689
28,2478.301
29,2495.303
30,2513.480
31,2536.269
32,2569.416
33,2768.475
34,2837.008
35,2865.020
36,2895.472
37,2971.324
38,3122.150
39,3143.973
40,3162.230
41,3179.101
42,3197.252
43,3221.612
44,3280.782
45,3394.483
46,3463.059
47,3509.031
48,3567.046
49,3688.643
50,3822.315
51,3881.387
52,3914.810
53,3945.102
54,3986.780
55,4059.901
56,4206.349
57,4295.362
58,4411.396
59,4525.226
60,4594.584
61,4650.078
62,4724.736
63,4841.924
64,4943.356
65,5028.846
66,5126.646
67,5227.342
68,5309.090
69,5415.681
70,5511.285
71,5607.653
72,5692.865
73,5786.610
74,5878.408
75,5998.469
76,6114.193
77,6223.510
78,6367.193
79,6492.544
80,6647.025
81,6810.562
82,6999.363
83,7186.571
84,7410.491
85,7587.421
86,7777.112
87,7971.478
88,8177.550
89,8383.732
90,8635.473
91,8949.139
92,9259.235
93,9638.210
94,10090.847
95,10560.020
96,11199.266
97,11944.824
98,12965.304
99,14865.472
